RequirementCode|RequirementTitle|RequirementDesc|RequirementCategory|Telemetry|Control|Metric|ValueFormula|Interpretation|IndustryBench|Regulation|Rule|Geography|BaselineFlag
CA-001|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|SB 942 §22757|Corporate Oversight|YES|AI Transparency|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|SB 942 §22757|90.0|California AI Laws|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|US-CA|Baseline
CA-001|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|SB 942 §22757|Corporate Oversight|NO|Technical Documentation|NO_METRIC|NO_FORMULA|SB 942 §22757|N/A|California AI Laws|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|US-CA|Not Baseline
CA-001|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|SB 942 §22757|Corporate Oversight|YES|Transparency|ai.risk.doc_completeness_gap_pct|max(0, 100 - ai.transparency.doc_completeness)|Your documentation gap is {value}%. Lower values indicate stronger transparency evidence.|20.0|California AI Laws|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|US-CA|Baseline
CA-001|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|SB 942 §22757|Corporate Oversight|YES|Transparency|ai.transparency.doc_completeness|(completed_doc_sections / required_doc_sections) * 100|SB 942 §22757|80.0|California AI Laws|Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content.|US-CA|Baseline
CA-002|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|SB 942 §22757(a)(2)|Corporate Oversight|YES|AI Transparency|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|SB 942 §22757(a)(2)|90.0|California AI Laws|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|US-CA|Baseline
CA-002|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|SB 942 §22757(a)(2)|Corporate Oversight|NO|Consumer Interaction Disclosure|ai.disclosure.consumer_rate|(disclosed_consumer_sessions / total_consumer_sessions) * 100|SB 942 §22757(a)(2)|N/A|California AI Laws|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|US-CA|Not Baseline
CA-002|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|SB 942 §22757(a)(2)|Corporate Oversight|YES|Transparency|ai.risk.doc_completeness_gap_pct|max(0, 100 - ai.transparency.doc_completeness)|Your documentation gap is {value}%. Lower values indicate stronger transparency evidence.|20.0|California AI Laws|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|US-CA|Baseline
CA-002|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|SB 942 §22757(a)(2)|Corporate Oversight|YES|Transparency|ai.transparency.doc_completeness|(completed_doc_sections / required_doc_sections) * 100|SB 942 §22757(a)(2)|80.0|California AI Laws|Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI.|US-CA|Baseline
CA-003|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|AB 2013 §22756|Risk & Compliance|YES|AI Transparency|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|AB 2013 §22756|90.0|California AI Laws|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|US-CA|Baseline
CA-003|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|AB 2013 §22756|Risk & Compliance|NO|Model Cards and Dataset Documentation|NO_METRIC|NO_FORMULA|AB 2013 §22756|N/A|California AI Laws|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|US-CA|Not Baseline
